event_id,event_timestamp,user_id,anonymous_id,session_id,event_name,traffic_source,page_location,product_id,order_id,revenue,device_category
evt00023,2026-05-05 22:02:00,u013,anon_u013,s0006,add_to_cart,paid_search,/collections/bestsellers,p013,,,desktop
evt00024,2026-05-05 22:08:00,u013,anon_u013,s0006,purchase,paid_search,/product,,o0006,89.26,desktop
evt00025,2026-05-05 23:07:00,u020,anon_u020,s0007,session_start,organic_search,/,,,,mobile
evt00026,2026-05-05 23:13:00,u020,anon_u020,s0007,page_view,organic_search,/collections/new,,,,mobile
evt00027,2026-05-05 23:19:00,u020,anon_u020,s0007,purchase,organic_search,/collections/bestsellers,,o0007,197.02,mobile
evt00028,2026-05-06 01:11:00,u027,anon_u027,s0008,session_start,social,/collections/new,,,,tablet
evt00029,2026-05-06 01:17:00,u027,anon_u027,s0008,page_view,social,/collections/bestsellers,,,,tablet
evt00030,2026-05-06 01:23:00,u027,anon_u027,s0008,view_item,social,/product/p017,p017,,,tablet
evt00031,2026-05-06 01:29:00,u027,anon_u027,s0008,purchase,social,/cart,,o0008,211.09,tablet
evt00032,2026-05-06 03:19:00,u004,anon_u004,s0009,session_start,email,/collections/bestsellers,,,,desktop
evt00033,2026-05-06 03:25:00,u004,anon_u004,s0009,page_view,email,/product,,,,desktop
evt00034,2026-05-06 03:31:00,u004,anon_u004,s0009,add_to_cart,email,/cart,p019,,,desktop
evt00035,2026-05-06 03:37:00,u004,anon_u004,s0009,purchase,email,/checkout,,o0009,128.82,desktop
evt00036,2026-05-06 05:27:00,u011,anon_u011,s0010,session_start,direct,/product,,,,mobile
evt00037,2026-05-06 05:33:00,u011,anon_u011,s0010,page_view,direct,/cart,,,,mobile
evt00038,2026-05-06 05:39:00,u011,anon_u011,s0010,view_item,direct,/product/p021,p021,,,mobile
evt00039,2026-05-06 05:45:00,u011,anon_u011,s0010,begin_checkout,direct,/account,,,,mobile
evt00040,2026-05-06 05:51:00,u011,anon_u011,s0010,purchase,direct,/,,o0010,233.82,mobile
evt00041,2026-05-06 07:35:00,u018,anon_u018,s0011,session_start,affiliate,/cart,,,,tablet
evt00042,2026-05-06 07:41:00,u018,anon_u018,s0011,page_view,affiliate,/checkout,,,,tablet
evt00043,2026-05-06 07:47:00,u018,anon_u018,s0011,purchase,affiliate,/account,,o0011,270.62,tablet
evt00044,2026-05-06 09:39:00,u025,anon_u025,s0012,session_start,paid_search,/checkout,,,,desktop
evt00045,2026-05-06 09:45:00,u025,anon_u025,s0012,page_view,paid_search,/account,,,,desktop
evt00046,2026-05-06 09:51:00,u025,anon_u025,s0012,view_item,paid_search,/product/p001,p001,,,desktop
evt00047,2026-05-06 09:57:00,u025,anon_u025,s0012,add_to_cart,paid_search,/collections/new,p001,,,desktop
evt00048,2026-05-06 10:03:00,u025,anon_u025,s0012,purchase,paid_search,/collections/bestsellers,,o0012,58.95,desktop
evt00049,2026-05-06 11:02:00,u002,anon_u002,s0013,session_start,organic_search,/account,,,,mobile
evt00050,2026-05-06 11:08:00,u002,anon_u002,s0013,page_view,organic_search,/,,,,mobile
evt00051,2026-05-06 11:14:00,u002,anon_u002,s0013,purchase,organic_search,/collections/new,,o0013,259.80,mobile
evt00052,2026-05-06 13:10:00,u009,anon_u009,s0014,session_start,social,/,,,,tablet
evt00053,2026-05-06 13:16:00,u009,anon_u009,s0014,page_view,social,/collections/new,,,,tablet
evt00054,2026-05-06 13:22:00,u009,anon_u009,s0014,view_item,social,/product/p005,p005,,,tablet
evt00055,2026-05-06 13:28:00,u009,anon_u009,s0014,purchase,social,/product,,o0014,,tablet
evt00056,2026-05-06 15:18:00,u016,anon_u016,s0015,session_start,email,/collections/new,,,,desktop
evt00057,2026-05-06 15:24:00,u016,anon_u016,s0015,page_view,email,/collections/bestsellers,,,,desktop
evt00058,2026-05-06 15:30:00,u016,anon_u016,s0015,add_to_cart,email,/product,p007,,,desktop
evt00059,2026-05-06 15:36:00,u016,anon_u016,s0015,begin_checkout,email,/cart,,,,desktop
evt00060,2026-05-06 15:42:00,u016,anon_u016,s0015,purchase,email,/checkout,,o0015,84.93,desktop
evt00061,2026-05-06 17:22:00,u023,anon_u023,s0016,session_start,direct,/collections/bestsellers,,,,mobile
evt00062,2026-05-06 17:28:00,u023,anon_u023,s0016,page_view,direct,/product,,,,mobile
evt00063,2026-05-06 17:34:00,u023,anon_u023,s0016,view_item,direct,/product/p009,p009,,,mobile
evt00064,2026-05-06 17:40:00,u023,anon_u023,s0016,purchase,direct,/checkout,,o0016,223.00,mobile
evt00065,2026-05-06 19:30:00,u030,anon_u030,s0017,session_start,affiliate,/product,,,,tablet
evt00066,2026-05-06 19:36:00,u030,anon_u030,s0017,page_view,affiliate,/cart,,,,tablet
evt00067,2026-05-06 19:42:00,u030,anon_u030,s0017,purchase,affiliate,/checkout,,o0017,352.89,tablet
evt00068,2026-05-06 21:38:00,u007,anon_u007,s0018,session_start,paid_search,/cart,,,,desktop
evt00069,2026-05-06 21:44:00,u007,anon_u007,s0018,page_view,paid_search,/checkout,,,,desktop
evt00070,2026-05-06 21:50:00,u007,anon_u007,s0018,view_item,paid_search,/product/p013,p013,,,desktop
evt00071,2026-05-06 21:56:00,u007,anon_u007,s0018,add_to_cart,paid_search,/,p013,,,desktop
evt00072,2026-05-06 22:02:00,u007,anon_u007,s0018,purchase,paid_search,/collections/new,,o0018,110.91,desktop
evt00073,2026-05-06 23:46:00,u014,anon_u014,s0019,session_start,organic_search,/checkout,,,,mobile
evt00074,2026-05-06 23:52:00,u014,anon_u014,s0019,page_view,organic_search,/account,,,,mobile
evt00075,2026-05-06 23:58:00,u014,anon_u014,s0019,purchase,organic_search,/,,o0019,167.79,mobile
evt00076,2026-05-07 01:05:00,u021,anon_u021,s0020,session_start,social,/account,,,,tablet
evt00077,2026-05-07 01:11:00,u021,anon_u021,s0020,page_view,social,/,,,,tablet
evt00078,2026-05-07 01:17:00,u021,anon_u021,s0020,view_item,social,/product/p017,p017,,,tablet
evt00079,2026-05-07 01:23:00,u021,anon_u021,s0020,begin_checkout,social,/collections/bestsellers,,,,tablet
evt00080,2026-05-07 01:29:00,u021,anon_u021,s0020,purchase,social,/product,,o0020,280.37,tablet
evt00081,2026-05-07 03:13:00,u028,anon_u028,s0021,session_start,email,/,,,,desktop
evt00082,2026-05-07 03:19:00,u028,anon_u028,s0021,page_view,email,/collections/new,,,,desktop
evt00083,2026-05-07 03:25:00,u028,anon_u028,s0021,add_to_cart,email,/collections/bestsellers,p019,,,desktop
evt00084,2026-05-07 03:31:00,u028,anon_u028,s0021,purchase,email,/product,,o0021,52.46,desktop
evt00085,2026-05-07 05:21:00,u005,anon_u005,s0022,session_start,direct,/collections/new,,,,mobile
evt00086,2026-05-07 05:27:00,u005,anon_u005,s0022,page_view,direct,/collections/bestsellers,,,,mobile
evt00087,2026-05-07 05:33:00,u005,anon_u005,s0022,view_item,direct,/product/p021,p021,,,mobile
evt00088,2026-05-07 05:39:00,u005,anon_u005,s0022,purchase,direct,/cart,,o0022,285.78,mobile
evt00089,2026-05-07 07:29:00,u012,anon_u012,s0023,session_start,affiliate,/collections/bestsellers,,,,tablet
evt00090,2026-05-07 07:35:00,u012,anon_u012,s0023,page_view,affiliate,/product,,,,tablet
evt00091,2026-05-07 07:41:00,u012,anon_u012,s0023,purchase,affiliate,/cart,,o0023,241.40,tablet
evt00092,2026-05-07 09:33:00,u019,anon_u019,s0024,session_start,paid_search,/product,,,,desktop
evt00093,2026-05-07 09:39:00,u019,anon_u019,s0024,page_view,paid_search,/cart,,,,desktop
evt00094,2026-05-07 09:45:00,u019,anon_u019,s0024,view_item,paid_search,/product/p001,p001,,,desktop
evt00095,2026-05-07 09:51:00,u019,anon_u019,s0024,add_to_cart,paid_search,/account,p001,,,desktop
evt00096,2026-05-07 09:57:00,u019,anon_u019,s0024,purchase,paid_search,/,,o0024,76.27,desktop
evt00097,2026-05-07 11:41:00,u026,anon_u026,s0025,session_start,organic_search,/cart,,,,mobile
evt00098,2026-05-07 11:47:00,u026,anon_u026,s0025,page_view,organic_search,/checkout,,,,mobile
evt00099,2026-05-07 11:53:00,u026,anon_u026,s0025,begin_checkout,organic_search,/account,,,,mobile
evt00100,2026-05-07 11:59:00,u026,anon_u026,s0025,purchase,organic_search,/,,o0025,293.36,mobile
evt00101,2026-05-07 13:04:00,u003,anon_u003,s0026,session_start,social,/checkout,,,,tablet
evt00102,2026-05-07 13:10:00,u003,anon_u003,s0026,page_view,social,/account,,,,tablet
evt00103,2026-05-07 13:16:00,u003,anon_u003,s0026,view_item,social,/product/p005,p005,,,tablet
evt00104,2026-05-07 13:22:00,u003,anon_u003,s0026,purchase,social,/collections/new,,o0026,228.41,tablet
evt00105,2026-05-07 15:12:00,u010,anon_u010,s0027,session_start,email,/account,,,,desktop
evt00106,2026-05-07 15:18:00,u010,anon_u010,s0027,page_view,email,/,,,,desktop
evt00107,2026-05-07 15:24:00,u010,anon_u010,s0027,add_to_cart,email,/collections/new,p007,,,desktop
evt00108,2026-05-07 15:30:00,u010,anon_u010,s0027,purchase,email,/collections/bestsellers,,o0027,26.48,desktop
evt00109,2026-05-07 17:16:00,u017,anon_u017,s0028,session_start,direct,/,,,,mobile
evt00110,2026-05-07 17:22:00,u017,anon_u017,s0028,page_view,direct,/collections/new,,,,mobile
evt00111,2026-05-07 17:28:00,u017,anon_u017,s0028,view_item,direct,/product/p009,p009,,,mobile
evt00112,2026-05-07 17:34:00,u017,anon_u017,s0028,purchase,direct,/product,,o0028,191.60,mobile
evt00113,2026-05-07 19:24:00,u024,anon_u024,s0029,session_start,affiliate,/collections/new,,,,tablet
evt00114,2026-05-07 19:30:00,u024,anon_u024,s0029,page_view,affiliate,/collections/bestsellers,,,,tablet
evt00115,2026-05-07 19:36:00,u024,anon_u024,s0029,purchase,affiliate,/product,,o0029,227.32,tablet
evt00116,2026-05-07 21:32:00,u001,anon_u001,s0030,session_start,paid_search,/collections/bestsellers,,,,desktop
evt00117,2026-05-07 21:38:00,u001,anon_u001,s0030,page_view,paid_search,/product,,,,desktop
evt00118,2026-05-07 21:44:00,u001,anon_u001,s0030,view_item,paid_search,/product/p013,p013,,,desktop
evt00119,2026-05-07 21:50:00,u001,anon_u001,s0030,add_to_cart,paid_search,/checkout,p013,,,desktop
evt00120,2026-05-07 21:56:00,u001,anon_u001,s0030,begin_checkout,paid_search,/account,,,,desktop
evt00121,2026-05-07 22:02:00,u001,anon_u001,s0030,purchase,paid_search,/,,o0030,89.26,desktop
evt00122,2026-05-07 23:40:00,u008,anon_u008,s0031,session_start,organic_search,/product,,,,mobile
evt00123,2026-05-07 23:46:00,u008,anon_u008,s0031,page_view,organic_search,/cart,,,,mobile
evt00124,2026-05-07 23:52:00,u008,anon_u008,s0031,purchase,organic_search,/checkout,,o0031,202.43,mobile
evt00125,2026-05-08 01:44:00,u015,anon_u015,s0032,session_start,social,/cart,,,,tablet
evt00126,2026-05-08 01:50:00,u015,anon_u015,s0032,page_view,social,/checkout,,,,tablet
evt00127,2026-05-08 01:56:00,u015,anon_u015,s0032,view_item,social,/product/p017,p017,,,tablet
evt00128,2026-05-08 02:02:00,u015,anon_u015,s0032,purchase,social,/,,o0032,216.50,tablet
evt00129,2026-05-08 03:07:00,u022,anon_u022,s0033,session_start,email,/checkout,,,,desktop
evt00130,2026-05-08 03:13:00,u022,anon_u022,s0033,page_view,email,/account,,,,desktop
evt00131,2026-05-08 03:19:00,u022,anon_u022,s0033,add_to_cart,email,/,p019,,,desktop
evt00132,2026-05-08 03:25:00,u022,anon_u022,s0033,purchase,email,/collections/new,,o0033,128.82,desktop
evt00133,2026-05-08 05:15:00,u029,anon_u029,s0034,session_start,direct,/account,,,,mobile
evt00134,2026-05-08 05:21:00,u029,anon_u029,s0034,page_view,direct,/,,,,mobile
evt00135,2026-05-08 05:27:00,u029,anon_u029,s0034,view_item,direct,/product/p021,p021,,,mobile
evt00136,2026-05-08 05:33:00,u029,anon_u029,s0034,purchase,direct,/collections/bestsellers,,o0034,228.41,mobile
evt00137,2026-05-08 07:23:00,u006,anon_u006,s0035,session_start,affiliate,/,,,,tablet
evt00138,2026-05-08 07:29:00,u006,anon_u006,s0035,page_view,affiliate,/collections/new,,,,tablet
evt00139,2026-05-08 07:35:00,u006,anon_u006,s0035,begin_checkout,affiliate,/collections/bestsellers,,,,tablet
evt00140,2026-05-08 07:41:00,u006,anon_u006,s0035,purchase,affiliate,/product,,o0035,0.00,tablet
evt00141,2026-05-08 09:27:00,u013,anon_u013,s0036,session_start,paid_search,/collections/new,,,,desktop
evt00142,2026-05-08 09:33:00,u013,anon_u013,s0036,page_view,paid_search,/collections/bestsellers,,,,desktop
evt00143,2026-05-08 09:39:00,u013,anon_u013,s0036,view_item,paid_search,/product/p001,p001,,,desktop
evt00144,2026-05-08 09:45:00,u013,anon_u013,s0036,add_to_cart,paid_search,/cart,p001,,,desktop
evt00145,2026-05-08 09:51:00,u013,anon_u013,s0036,purchase,paid_search,/checkout,,o0036,58.95,desktop
evt00146,2026-05-08 11:35:00,u020,anon_u020,s0037,session_start,organic_search,/collections/bestsellers,,,,mobile
evt00147,2026-05-08 11:41:00,u020,anon_u020,s0037,page_view,organic_search,/product,,,,mobile
evt00148,2026-05-08 11:47:00,u020,anon_u020,s0037,purchase,organic_search,/cart,,o0037,270.62,mobile
evt00149,2026-05-08 13:43:00,u027,anon_u027,s0038,session_start,social,/product,,,,tablet
evt00150,2026-05-08 13:49:00,u027,anon_u027,s0038,page_view,social,/cart,,,,tablet
evt00151,2026-05-08 13:55:00,u027,anon_u027,s0038,view_item,social,/product/p005,p005,,,tablet
evt00152,2026-05-08 14:01:00,u027,anon_u027,s0038,purchase,social,/account,,o0038,320.42,tablet
evt00153,2026-05-08 15:06:00,u004,anon_u004,s0039,session_start,email,/cart,,,,desktop
evt00154,2026-05-08 15:12:00,u004,anon_u004,s0039,page_view,email,/checkout,,,,desktop
evt00155,2026-05-08 15:18:00,u004,anon_u004,s0039,add_to_cart,email,/account,p007,,,desktop
evt00156,2026-05-08 15:24:00,u004,anon_u004,s0039,purchase,email,/,,o0039,74.11,desktop
evt00157,2026-05-08 17:10:00,u011,anon_u011,s0040,session_start,direct,/checkout,,,,mobile
evt00158,2026-05-08 17:16:00,u011,anon_u011,s0040,page_view,direct,/account,,,,mobile
evt00159,2026-05-08 17:22:00,u011,anon_u011,s0040,view_item,direct,/product/p009,p009,,,mobile
evt00160,2026-05-08 17:28:00,u011,anon_u011,s0040,begin_checkout,direct,/collections/new,,,,mobile
evt00161,2026-05-08 17:34:00,u011,anon_u011,s0040,purchase,direct,/collections/bestsellers,,o0040,228.41,mobile
evt00162,2026-05-08 19:18:00,u018,anon_u018,s0041,session_start,affiliate,/account,,,,tablet
evt00163,2026-05-08 19:24:00,u018,anon_u018,s0041,page_view,affiliate,/,,,,tablet
evt00164,2026-05-08 19:30:00,u018,anon_u018,s0041,purchase,affiliate,/collections/new,,o0041,358.31,tablet
evt00165,2026-05-08 21:26:00,u025,anon_u025,s0042,session_start,paid_search,/,,,,desktop
evt00166,2026-05-08 21:32:00,u025,anon_u025,s0042,page_view,paid_search,/collections/new,,,,desktop
evt00167,2026-05-08 21:38:00,u025,anon_u025,s0042,view_item,paid_search,/product/p013,p013,,,desktop
evt00168,2026-05-08 21:44:00,u025,anon_u025,s0042,add_to_cart,paid_search,/product,p013,,,desktop
evt00169,2026-05-08 21:50:00,u025,anon_u025,s0042,purchase,paid_search,/cart,,o0042,110.91,desktop
evt00170,2026-05-08 23:34:00,u002,anon_u002,s0043,session_start,organic_search,/collections/new,,,,mobile
evt00171,2026-05-08 23:40:00,u002,anon_u002,s0043,page_view,organic_search,/collections/bestsellers,,,,mobile
evt00172,2026-05-08 23:46:00,u002,anon_u002,s0043,purchase,organic_search,/product,,o0043,162.38,mobile
evt00173,2026-05-09 01:38:00,u009,anon_u009,s0044,session_start,social,/collections/bestsellers,,,,tablet
evt00174,2026-05-09 01:44:00,u009,anon_u009,s0044,page_view,social,/product,,,,tablet
evt00175,2026-05-09 01:50:00,u009,anon_u009,s0044,view_item,social,/product/p017,p017,,,tablet
evt00176,2026-05-09 01:56:00,u009,anon_u009,s0044,purchase,social,/checkout,,o0044,0.00,tablet
evt00177,2026-05-09 03:01:00,u016,anon_u016,s0045,session_start,email,/product,,,,desktop
evt00178,2026-05-09 03:07:00,u016,anon_u016,s0045,page_view,email,/cart,,,,desktop
evt00179,2026-05-09 03:13:00,u016,anon_u016,s0045,add_to_cart,email,/checkout,p019,,,desktop
evt00180,2026-05-09 03:19:00,u016,anon_u016,s0045,begin_checkout,email,/account,,,,desktop
evt00181,2026-05-09 03:25:00,u016,anon_u016,s0045,purchase,email,/,,o0045,52.46,desktop
evt00182,2026-05-09 05:09:00,u023,anon_u023,s0046,session_start,direct,/cart,,,,mobile
evt00183,2026-05-09 05:15:00,u023,anon_u023,s0046,page_view,direct,/checkout,,,,mobile
evt00184,2026-05-09 05:21:00,u023,anon_u023,s0046,view_item,direct,/product/p021,p021,,,mobile
evt00185,2026-05-09 05:27:00,u023,anon_u023,s0046,purchase,direct,/,,o0046,285.78,mobile
evt00186,2026-05-09 07:17:00,u030,anon_u030,s0047,session_start,affiliate,/checkout,,,,tablet
evt00187,2026-05-09 07:23:00,u030,anon_u030,s0047,page_view,affiliate,/account,,,,tablet
evt00188,2026-05-09 07:29:00,u030,anon_u030,s0047,purchase,affiliate,/,,o0047,241.40,tablet
evt00189,2026-05-09 09:21:00,u007,anon_u007,s0048,session_start,paid_search,/account,,,,desktop
evt00190,2026-05-09 09:27:00,u007,anon_u007,s0048,page_view,paid_search,/,,,,desktop
evt00191,2026-05-09 09:33:00,u007,anon_u007,s0048,view_item,paid_search,/product/p001,p001,,,desktop
evt00192,2026-05-09 09:39:00,u007,anon_u007,s0048,add_to_cart,paid_search,/collections/bestsellers,p001,,,desktop
evt00193,2026-05-09 09:45:00,u007,anon_u007,s0048,purchase,paid_search,/product,,o0048,76.27,desktop
evt00194,2026-05-09 11:29:00,u014,anon_u014,s0049,session_start,organic_search,/,,,,mobile
evt00195,2026-05-09 11:35:00,u014,anon_u014,s0049,page_view,organic_search,/collections/new,,,,mobile
evt00196,2026-05-09 11:41:00,u014,anon_u014,s0049,purchase,organic_search,/collections/bestsellers,,o0049,298.77,mobile
evt00197,2026-05-09 13:37:00,u021,anon_u021,s0050,session_start,social,/collections/new,,,,tablet
evt00198,2026-05-09 13:43:00,u021,anon_u021,s0050,page_view,social,/collections/bestsellers,,,,tablet
evt00199,2026-05-09 13:49:00,u021,anon_u021,s0050,view_item,social,/product/p005,p005,,,tablet
evt00200,2026-05-09 13:55:00,u021,anon_u021,s0050,begin_checkout,social,/cart,,,,tablet
evt00201,2026-05-09 14:01:00,u021,anon_u021,s0050,purchase,social,/checkout,,o0050,244.64,tablet
evt00202,2026-05-09 15:45:00,u028,anon_u028,s0051,session_start,email,/collections/bestsellers,,,,desktop
evt00203,2026-05-09 15:51:00,u028,anon_u028,s0051,page_view,email,/product,,,,desktop
evt00204,2026-05-09 15:57:00,u028,anon_u028,s0051,add_to_cart,email,/cart,p007,,,desktop
evt00205,2026-05-09 16:03:00,u028,anon_u028,s0051,purchase,email,/checkout,,o0051,26.48,desktop
evt00206,2026-05-09 17:04:00,u005,anon_u005,s0052,session_start,direct,/product,,,,mobile
evt00207,2026-05-09 17:10:00,u005,anon_u005,s0052,page_view,direct,/cart,,,,mobile
evt00208,2026-05-09 17:16:00,u005,anon_u005,s0052,view_item,direct,/product/p009,p009,,,mobile
evt00209,2026-05-09 17:22:00,u005,anon_u005,s0052,purchase,direct,/account,,o0052,175.37,mobile
evt00210,2026-05-09 19:12:00,u012,anon_u012,s0053,session_start,affiliate,/cart,,,,tablet
evt00211,2026-05-09 19:18:00,u012,anon_u012,s0053,page_view,affiliate,/checkout,,,,tablet
evt00212,2026-05-09 19:24:00,u012,anon_u012,s0053,purchase,affiliate,/account,,o0053,221.91,tablet
evt00213,2026-05-09 21:20:00,u019,anon_u019,s0054,session_start,paid_search,/checkout,,,,desktop
evt00214,2026-05-09 21:26:00,u019,anon_u019,s0054,page_view,paid_search,/account,,,,desktop
evt00215,2026-05-09 21:32:00,u019,anon_u019,s0054,view_item,paid_search,/product/p013,p013,,,desktop
evt00216,2026-05-09 21:38:00,u019,anon_u019,s0054,add_to_cart,paid_search,/collections/new,p013,,,desktop
evt00217,2026-05-09 21:44:00,u019,anon_u019,s0054,purchase,paid_search,/collections/bestsellers,,o0054,89.26,desktop
evt00218,2026-05-09 23:28:00,u026,anon_u026,s0055,session_start,organic_search,/account,,,,mobile
evt00219,2026-05-09 23:34:00,u026,anon_u026,s0055,page_view,organic_search,/,,,,mobile
evt00220,2026-05-09 23:40:00,u026,anon_u026,s0055,begin_checkout,organic_search,/collections/new,,,,mobile
evt00221,2026-05-09 23:46:00,u026,anon_u026,s0055,purchase,organic_search,/collections/bestsellers,,o0055,202.43,mobile
evt00222,2026-05-10 01:32:00,u003,anon_u003,s0056,session_start,social,/,,,,tablet
evt00223,2026-05-10 01:38:00,u003,anon_u003,s0056,page_view,social,/collections/new,,,,tablet
evt00224,2026-05-10 01:44:00,u003,anon_u003,s0056,view_item,social,/product/p017,p017,,,tablet
evt00225,2026-05-10 01:50:00,u003,anon_u003,s0056,purchase,social,/product,,o0056,216.50,tablet
evt00226,2026-05-10 03:40:00,u010,anon_u010,s0057,session_start,email,/collections/new,,,,desktop
evt00227,2026-05-10 03:46:00,u010,anon_u010,s0057,page_view,email,/collections/bestsellers,,,,desktop
evt00228,2026-05-10 03:52:00,u010,anon_u010,s0057,add_to_cart,email,/product,p019,,,desktop
evt00229,2026-05-10 03:58:00,u010,anon_u010,s0057,purchase,email,/cart,,o0057,128.82,desktop
evt00230,2026-05-10 05:03:00,u017,anon_u017,s0058,session_start,direct,/collections/bestsellers,,,,mobile
evt00231,2026-05-10 05:09:00,u017,anon_u017,s0058,page_view,direct,/product,,,,mobile
evt00232,2026-05-10 05:15:00,u017,anon_u017,s0058,view_item,direct,/product/p021,p021,,,mobile
evt00233,2026-05-10 05:21:00,u017,anon_u017,s0058,purchase,direct,/checkout,,o0058,233.82,mobile
evt00234,2026-05-10 07:11:00,u024,anon_u024,s0059,session_start,affiliate,/product,,,,tablet
evt00235,2026-05-10 07:17:00,u024,anon_u024,s0059,page_view,affiliate,/cart,,,,tablet
evt00236,2026-05-10 07:23:00,u024,anon_u024,s0059,purchase,affiliate,/checkout,,o0059,270.62,tablet
evt00237,2026-05-10 09:15:00,u001,anon_u001,s0060,session_start,paid_search,/cart,,,,desktop
evt00238,2026-05-10 09:21:00,u001,anon_u001,s0060,page_view,paid_search,/checkout,,,,desktop
evt00239,2026-05-10 09:27:00,u001,anon_u001,s0060,view_item,paid_search,/product/p001,p001,,,desktop
evt00240,2026-05-10 09:33:00,u001,anon_u001,s0060,add_to_cart,paid_search,/,p001,,,desktop
evt00241,2026-05-10 09:39:00,u001,anon_u001,s0060,begin_checkout,paid_search,/collections/new,,,,desktop
evt00242,2026-05-10 09:45:00,u001,anon_u001,s0060,purchase,paid_search,/collections/bestsellers,,o0060,58.95,desktop
evt00243,2026-05-10 11:23:00,u008,anon_u008,s0061,session_start,organic_search,/checkout,,,,mobile
evt00244,2026-05-10 11:29:00,u008,anon_u008,s0061,page_view,organic_search,/account,,,,mobile
evt00245,2026-05-10 11:35:00,u008,anon_u008,s0061,purchase,organic_search,/,,o0061,265.21,mobile
evt00246,2026-05-10 13:31:00,u015,anon_u015,s0062,session_start,social,/account,,,,tablet
evt00247,2026-05-10 13:37:00,u015,anon_u015,s0062,page_view,social,/,,,,tablet
evt00248,2026-05-10 13:43:00,u015,anon_u015,s0062,view_item,social,/product/p005,p005,,,tablet
evt00249,2026-05-10 13:49:00,u015,anon_u015,s0062,purchase,social,/collections/bestsellers,,o0062,315.01,tablet
evt00250,2026-05-10 15:39:00,u022,anon_u022,s0063,session_start,email,/,,,,desktop
evt00251,2026-05-10 15:45:00,u022,anon_u022,s0063,page_view,email,/collections/new,,,,desktop
evt00252,2026-05-10 15:51:00,u022,anon_u022,s0063,add_to_cart,email,/collections/bestsellers,p007,,,desktop
evt00253,2026-05-10 15:57:00,u022,anon_u022,s0063,purchase,email,/product,,o0063,84.93,desktop
evt00254,2026-05-10 17:43:00,u029,anon_u029,s0064,session_start,direct,/collections/new,,,,mobile
evt00255,2026-05-10 17:49:00,u029,anon_u029,s0064,page_view,direct,/collections/bestsellers,,,,mobile
evt00256,2026-05-10 17:55:00,u029,anon_u029,s0064,view_item,direct,/product/p009,p009,,,mobile
evt00257,2026-05-10 18:01:00,u029,anon_u029,s0064,purchase,direct,/cart,,o0064,228.41,mobile
evt00258,2026-05-10 19:06:00,u006,anon_u006,s0065,session_start,affiliate,/collections/bestsellers,,,,tablet
evt00259,2026-05-10 19:12:00,u006,anon_u006,s0065,page_view,affiliate,/product,,,,tablet
evt00260,2026-05-10 19:18:00,u006,anon_u006,s0065,begin_checkout,affiliate,/cart,,,,tablet
evt00261,2026-05-10 19:24:00,u006,anon_u006,s0065,purchase,affiliate,/checkout,,o0065,347.48,tablet
evt00262,2026-05-10 21:14:00,u013,anon_u013,s0066,session_start,paid_search,/product,,,,desktop
evt00263,2026-05-10 21:20:00,u013,anon_u013,s0066,page_view,paid_search,/cart,,,,desktop
