order_item_id,order_id,product_id,quantity,unit_price,discount_amount
oi0101_2,o0101,p012,2,46.00,0.00
oi0101_3,o0101,p015,1,54.00,0.00
oi0102_1,o0102,p010,2,38.00,0.00
oi0103_1,o0103,p011,1,29.00,0.00
oi0103_2,o0103,p014,2,79.00,0.00
oi0104_1,o0104,p012,2,46.00,0.00
oi0104_2,o0104,p015,1,54.00,0.00
oi0104_3,o0104,p018,2,27.00,0.00
oi0105_1,o0105,p013,1,119.00,0.00
oi0106_1,o0106,p014,2,79.00,0.00
oi0106_2,o0106,p017,1,58.00,5.00
oi0107_1,o0107,p015,1,54.00,5.00
oi0107_2,o0107,p018,2,27.00,0.00
oi0107_3,o0107,p021,1,142.00,0.00
oi0108_1,o0108,p016,2,24.00,0.00
oi0109_1,o0109,p017,1,58.00,0.00
oi0109_2,o0109,p020,2,96.00,0.00
oi0110_1,o0110,p018,2,27.00,0.00
oi0110_2,o0110,p021,1,142.00,0.00
oi0110_3,o0110,p024,2,50.00,0.00
