order_id,user_id,order_timestamp,order_status,traffic_source,subtotal_amount,tax_amount,shipping_amount,discount_amount,total_revenue
o0025,u026,2026-05-09 14:50:00,delivered,email,276.00,22.36,0.00,5.00,293.36
o0026,u003,2026-05-09 19:01:00,shipped,direct,226.00,17.41,0.00,15.00,228.41
o0027,u010,2026-05-09 23:12:00,placed,affiliate,18.00,1.49,6.99,0.00,26.48
o0028,u017,2026-05-10 02:23:00,delivered,paid_search,177.00,14.60,0.00,0.00,191.60
o0029,u024,2026-05-10 06:34:00,delivered,organic_search,210.00,17.32,0.00,0.00,227.32
o0030,u001,2026-05-10 10:45:00,shipped,social,76.00,6.27,6.99,0.00,89.26
o0031,u008,2026-05-10 14:56:00,placed,email,187.00,15.43,0.00,0.00,202.43
o0032,u015,2026-05-10 19:07:00,delivered,direct,200.00,16.50,0.00,0.00,216.50
o0033,u022,2026-05-10 22:18:00,returned,affiliate,119.00,9.82,0.00,0.00,128.82
o0034,u029,2026-05-11 02:29:00,shipped,paid_search,216.00,17.41,0.00,5.00,228.41
o0035,u006,2026-05-11 06:40:00,cancelled,organic_search,250.00,20.21,0.00,5.00,0.00
o0036,u013,2026-05-11 10:51:00,delivered,social,48.00,3.96,6.99,0.00,58.95
o0037,u020,2026-05-11 15:02:00,delivered,email,250.00,20.62,0.00,0.00,270.62
o0038,u027,2026-05-11 19:13:00,shipped,direct,296.00,24.42,0.00,0.00,320.42
o0039,u004,2026-05-11 22:24:00,placed,affiliate,72.00,5.12,6.99,10.00,74.11
o0040,u011,2026-05-12 02:35:00,delivered,paid_search,211.00,17.41,0.00,0.00,228.41
o0041,u018,2026-05-12 06:46:00,delivered,organic_search,331.00,27.31,0.00,0.00,358.31
o0042,u025,2026-05-12 10:57:00,shipped,social,96.00,7.92,6.99,0.00,110.91
o0043,u002,2026-05-12 15:08:00,placed,email,155.00,12.38,0.00,5.00,162.38
o0044,u009,2026-05-12 18:19:00,cancelled,direct,259.00,20.96,0.00,5.00,0.00
o0045,u016,2026-05-12 22:30:00,delivered,affiliate,42.00,3.47,6.99,0.00,52.46
o0046,u023,2026-05-13 02:41:00,shipped,paid_search,264.00,21.78,0.00,0.00,285.78
o0047,u030,2026-05-13 06:52:00,placed,organic_search,223.00,18.40,0.00,0.00,241.40
o0048,u007,2026-05-13 11:03:00,delivered,social,64.00,5.28,6.99,0.00,76.27
o0049,u014,2026-05-13 15:14:00,delivered,email,276.00,22.77,0.00,0.00,298.77
o0050,u021,2026-05-13 18:25:00,shipped,direct,226.00,18.64,0.00,0.00,244.64
o0051,u028,2026-05-13 22:36:00,placed,affiliate,18.00,1.49,6.99,0.00,26.48
o0052,u005,2026-05-14 02:47:00,delivered,paid_search,177.00,13.37,0.00,15.00,175.37
o0053,u012,2026-05-14 06:58:00,delivered,organic_search,210.00,16.91,0.00,5.00,221.91
o0054,u019,2026-05-14 11:09:00,shipped,social,76.00,6.27,6.99,0.00,89.26
o0055,u026,2026-05-14 14:20:00,delivered,email,187.00,15.43,0.00,0.00,202.43
o0056,u003,2026-05-14 18:31:00,delivered,direct,200.00,16.50,0.00,0.00,216.50
o0057,u010,2026-05-14 22:42:00,returned,affiliate,119.00,9.82,0.00,0.00,128.82
o0058,u017,2026-05-15 02:53:00,shipped,paid_search,216.00,17.82,0.00,0.00,233.82
o0059,u024,2026-05-15 07:04:00,placed,organic_search,250.00,20.62,0.00,0.00,270.62
o0060,u001,2026-05-15 10:15:00,delivered,social,48.00,3.96,6.99,0.00,58.95
o0061,u008,2026-05-15 14:26:00,delivered,email,250.00,20.21,0.00,5.00,265.21
o0062,u015,2026-05-15 18:37:00,shipped,direct,296.00,24.01,0.00,5.00,315.01
o0063,u022,2026-05-15 22:48:00,placed,affiliate,72.00,5.94,6.99,0.00,84.93
o0064,u029,2026-05-16 02:59:00,delivered,paid_search,211.00,17.41,0.00,0.00,228.41
o0065,u006,2026-05-16 07:10:00,delivered,organic_search,331.00,26.48,0.00,10.00,347.48
o0066,u013,2026-05-16 10:21:00,shipped,social,96.00,7.92,6.99,0.00,110.91
o0067,u020,2026-05-16 14:32:00,placed,email,155.00,12.79,0.00,0.00,167.79
o0068,u027,2026-05-16 18:43:00,delivered,direct,259.00,21.37,0.00,0.00,280.37
o0069,u004,2026-05-16 22:54:00,delivered,affiliate,42.00,3.47,6.99,0.00,52.46
o0070,u011,2026-05-17 03:05:00,cancelled,paid_search,264.00,21.37,0.00,5.00,0.00
o0071,u018,2026-05-17 06:16:00,placed,organic_search,223.00,17.98,0.00,5.00,235.98
o0072,u025,2026-05-17 10:27:00,delivered,social,64.00,5.28,6.99,0.00,76.27
o0073,u002,2026-05-17 14:38:00,delivered,email,276.00,22.77,0.00,0.00,298.77
o0074,u009,2026-05-17 18:49:00,shipped,direct,226.00,18.64,0.00,0.00,244.64
o0075,u016,2026-05-17 23:00:00,placed,affiliate,18.00,1.49,6.99,0.00,26.48
o0076,u023,2026-05-18 03:11:00,delivered,paid_search,177.00,14.60,0.00,0.00,191.60
o0077,u030,2026-05-18 06:22:00,placed,organic_search,210.00,17.32,0.00,0.00,227.32
o0078,u007,2026-05-18 10:33:00,shipped,social,76.00,5.45,6.99,10.00,78.44
o0079,u014,2026-05-18 14:44:00,placed,email,187.00,15.02,0.00,5.00,197.02
o0080,u021,2026-05-18 18:55:00,delivered,direct,200.00,16.09,0.00,5.00,211.09
o0081,u028,2026-05-18 23:06:00,delivered,affiliate,119.00,9.82,0.00,0.00,128.82
o0082,u005,2026-05-19 02:17:00,shipped,paid_search,216.00,17.82,0.00,0.00,233.82
o0083,u012,2026-05-19 06:28:00,placed,organic_search,250.00,20.62,0.00,0.00,270.62
o0084,u019,2026-05-19 10:39:00,delivered,social,48.00,3.96,6.99,0.00,58.95
o0085,u026,2026-05-19 14:50:00,delivered,email,250.00,20.62,0.00,0.00,270.62
o0086,u003,2026-05-19 19:01:00,shipped,direct,296.00,24.42,0.00,0.00,320.42
o0087,u010,2026-05-19 23:12:00,placed,affiliate,72.00,5.94,6.99,0.00,84.93
o0088,u017,2026-05-20 02:23:00,returned,paid_search,211.00,17.00,0.00,5.00,223.00
o0089,u024,2026-05-20 06:34:00,delivered,organic_search,331.00,26.89,0.00,5.00,352.89
o0090,u001,2026-05-20 10:45:00,shipped,social,96.00,7.92,6.99,0.00,110.91
o0091,u008,2026-05-20 14:56:00,placed,email,155.00,11.96,0.00,10.00,156.96
o0092,u015,2026-05-20 19:07:00,delivered,direct,259.00,21.37,0.00,0.00,280.37
o0093,u022,2026-05-20 22:18:00,delivered,affiliate,42.00,3.47,6.99,0.00,52.46
o0094,u029,2026-05-21 02:29:00,shipped,paid_search,264.00,21.78,0.00,0.00,285.78
o0095,u006,2026-05-21 06:40:00,placed,organic_search,223.00,18.40,0.00,0.00,241.40
o0096,u013,2026-05-21 10:51:00,delivered,social,64.00,5.28,6.99,0.00,76.27
o0097,u020,2026-05-21 15:02:00,delivered,email,276.00,22.36,0.00,5.00,293.36
o0098,u027,2026-05-21 19:13:00,shipped,direct,226.00,18.23,0.00,5.00,239.23
o0099,u004,2026-05-21 22:24:00,returned,affiliate,18.00,1.49,6.99,0.00,26.48
o0100,u011,2026-05-22 02:35:00,delivered,paid_search,177.00,14.60,0.00,0.00,191.60
o0101,u018,2026-05-22 06:46:00,delivered,organic_search,210.00,17.32,0.00,0.00,227.32
o0102,u025,2026-05-22 10:57:00,shipped,social,76.00,6.27,6.99,0.00,89.26
o0103,u002,2026-05-22 15:08:00,placed,email,187.00,15.43,0.00,0.00,202.43
o0104,u009,2026-05-22 18:19:00,delivered,direct,200.00,15.68,0.00,10.00,205.68
o0105,u016,2026-05-22 22:30:00,cancelled,affiliate,119.00,9.82,0.00,0.00,0.00
o0106,u023,2026-05-23 02:41:00,shipped,paid_search,216.00,17.41,0.00,5.00,228.41
o0107,u030,2026-05-23 06:52:00,placed,organic_search,250.00,20.21,0.00,5.00,265.21
o0108,u007,2026-05-23 11:03:00,delivered,social,48.00,3.96,6.99,0.00,58.95
o0109,u014,2026-05-23 15:14:00,delivered,email,250.00,20.62,0.00,0.00,270.62
o0110,u021,2026-05-23 18:25:00,delivered,direct,296.00,24.42,0.00,0.00,320.42
